serial,source_text,plagiarized_text,label
1,"Internet privacy improves network security for scientific research and with computing devices.","Nash equilibrium explores ethical dilemmas in modern research and in their respective fields.",0
2,"Virtual reality automates image and voice processing for scientific research in the digital age.","Virtual reality automates image and voice processing for scientific study.",1
3,"Conducting experiments requires precise measurements and controlled variables to yield valid results.","Conducting experiments requires precise measurements and controlled variables to yield valid results.",1
4,"Psychological well-being examines social structures for better understanding and in their respective fields.","Cellular respiration occurs in cells to produce energy for living organisms.",0
5,"Biodiversity is characterized by cultural practices around the world in modern society.","Heavy water consists of hydrogen and oxygen atoms, with deuterium instead of hydrogen in the water molecule.",0
6,"Social contract theory studies statistical data in modern research in theory.","Napoleon Bonaparte led the French army to conquer much of Europe in the early 19th century.",0
7,"Linguistic diversity discusses statistical data in academic contexts for better understanding and in daily life.","Linguistic diversity discusses statistical data in academic contexts for better understanding.",0
8,"Financial literacy is a field of study in economic development around the world.","Financial literacy is a principle in economic development in modern times.",1
9,"Market economy is a theory that economic systems in modern research for better understanding.","Market economy is a theory that economic frameworks in modern research.",1
10,"Quantum computing stores computations for modern computing and with computing devices.","Quantum computing stores calculations for modern computing and with computing devices.",1
11,"Fossil fuels explains the natural world in nature and in the world today.","Fossil fuels explains the natural world in nature and in the world today.",1
12,"The atomic number of gold is 79, which helps identify gold in the periodic table.","Each gas turbine is inspected for mechanical issues to ensure safety and performance.",0
13,"Ocean currents influence the climate in many parts of the world and in nature.","Graphene is a material that consists of a single layer of carbon atoms.",0
14,"Metamorphic rocks form under intense heat and pressure deep within the Earth.","Simple interest is calculated by multiplying the principal amount by the rate and time.",0
15,"Genetic drift results in changes to the gene pool of a population over time.","Photosynthesis creates chemical energy from sunlight and carbon dioxide.",0
16,"Classical music features symphonies and concertos performed by orchestras.","Classical music features symphonies and concertos performed by orchestras.",1
17,"Photosynthesis is a process where green plants convert sunlight into chemical energy.","Photosynthesis is a process where green plants convert sunlight into chemical energy.",1
18,"An exoplanet is a planet that orbits a star outside our solar system.","Cirrus clouds are thin and high-altitude, often indicating fair weather conditions.",0
19,"Plate tectonics describes the movement of continents over geological time.","The Sahara desert can reach temperatures above 50°C during the day.",0
20,"Telephone networks enable communication between people across long distances.","A diode allows current to flow in one direction and blocks it in the other.",0
21,"Olympic gold medals are awarded to athletes finishing first in their events.","Photosynthesis primarily occurs in the chloroplasts of plant cells, which contain chlorophyll pigment.",0
22,"Exothermic reactions release energy, often in the form of heat and light.","Exothermic reactions release energy, often in the form of heat and light.",1
23,"Beethoven's Ninth Symphony introduced a choir in the final movement.","Beethoven's Ninth Symphony introduced a choir in the final movement.",1
24,"Ocean acidification results from carbon dioxide dissolving in seawater.","Quantum entanglement connects two particles even when they are far apart.",0
25,"Economics considers how societies allocate resources among competing uses.","In programming, a loop allows code to be executed repeatedly until a condition is met.",0
26,"Machine learning is a technology that processes data analysis and with computing devices.","Machine learning is a technology that processes data analysis and with computing devices.",1
27,"Machine learning allows computers to learn from data and improve performance.","Machine learning allows computers to learn from data and improve performance.",1
28,"Human body temperature is maintained around 37°C despite external changes.","The distance between Earth and the Sun is one astronomical unit.",0
29,"Mount Everest is the highest mountain on Earth, reaching 8848 meters.","Computers store information using binary digits, which can be either 0 or 1.",0
30,"Galaxy formation explores how stars and matter clump together in space.","Galaxy formation explores how stars and matter clump together in space.",1
31,"Avocado trees produce fruit that contains healthy fats and vitamins.","Avocado trees produce fruit that contains healthy fats and vitamins.",1
32,"Event horizons define the region around a black hole beyond which nothing can escape.","A telescope made by Galileo could magnify objects about 20 times.",0
33,"Nuclear reactors manage chain reactions to produce energy for electricity.","Genetic engineering is a technology that uses genomes to improve crops.",0
34,"Photosynthetic organisms capture solar energy using pigments like chlorophyll to produce food.","Citrus fruits are rich in Vitamin C, which helps support the immune system.",0
35,"Machine learning models often require large datasets for training to achieve high accuracy.","Machine learning models often require large datasets for training to achieve high accuracy.",1
36,"Renaissance art often focused on realism and human emotion during the 15th and 16th centuries.","Renaissance art often focused on realism and human emotion during the 15th and 16th centuries.",1
37,"Corn is a plant cultivated for its grain, which can be eaten or used for fuel.","Corn is a plant cultivated for its grain, which can be eaten or used for fuel.",1
38,"The kinetic theory explains gas pressure in terms of particles moving rapidly.","The kinetic theory explains gas pressure in terms of particles moving rapidly.",1
39,"Beta decay is a type of radioactive decay where a neutron turns into a proton.","Beta decay is a type of radioactive decay where a neutron turns into a proton.",1
40,"Urban planning addresses economic development in many cultures around the world today and in daily life.","Urban planning addresses economic development in many cultures and in their respective fields.",1
41,"The cosmic microwave background provides evidence for the Big Bang theory.","The Sahara Desert covers much of northern Africa with sand dunes.",0
42,"Atmospheric pressure decreases with altitude as fewer air molecules are present.","Mercury is the closest planet to the Sun in our solar system.",0
43,"The mitochondrion generates ATP energy to power cellular functions within cells.","Athletes often perform specific exercises to increase muscle strength.",0
44,"Cryptography uses algorithms to safeguard data for modern computing and in the digital age.","Animals exhibit camouflage to avoid detection by predators.",0
